ID/name,department_name,company,parent_department,is_group,disabled,leave_block_list
"""All Departments""",All Departments,,,1,0,
"""Accounts - NT""",Accounts,Nanak Tech,All Departments,0,0,
"""Marketing - NT""",Marketing,Nanak Tech,All Departments,0,0,
"""Sales - NT""",Sales,Nanak Tech,All Departments,0,0,
"""Purchase - NT""",Purchase,Nanak Tech,All Departments,0,0,
"""Operations - NT""",Operations,Nanak Tech,All Departments,0,0,
"""Production - NT""",Production,Nanak Tech,All Departments,0,0,
"""Dispatch - NT""",Dispatch,Nanak Tech,All Departments,0,0,
"""Customer Service - NT""",Customer Service,Nanak Tech,All Departments,0,0,
"""Human Resources - NT""",Human Resources,Nanak Tech,All Departments,0,0,
"""Management - NT""",Management,Nanak Tech,All Departments,0,0,
"""Quality Management - NT""",Quality Management,Nanak Tech,All Departments,0,0,
"""Research & Development - NT""",Research & Development,Nanak Tech,All Departments,0,0,
"""Legal - NT""",Legal,Nanak Tech,All Departments,0,0,
